clinical_question,bottom_line,link_name,,
Among patients with acute MI and preserved LV systolic function does the addition of lisinopril reduce short-term mortality?,'Although several studies (including the 1992 SAVE trial) have investigated the role of ACE inhibitors among patients with MI complicated by LV dysfunction the role of the medication in those with an MI with preserved LVEF was unknown. The 1994 Gruppo Italiano per lo Studio della Sopravvivenza nell''infarto Miocardico (GISSI-3) trial randomized 19394 patients with MI with preserved LVEF to lisinopril nitrates or control in a 2x2 factorial design. At 6 weeks lisinopril was associated with a modest but significant 0.8% absolute reduction in mortality  -- an 11% odds reduction -- when compared to placebo.',/wiki/GISSI-3,,
Among patients with ACS does administration of streptokinase tPA or both in addition to heparin and ASA reduce all-cause mortality at 30 days?,Restoration of coronary perfusion in MI was identified as a potential therapeutic intervention as early as 1912 with the first studies of thrombolytics/fibrinolytics (originally streptokinase [SK]) occurring in the 1950s.[1][2] The first large study to demonstrate efficacy of thrombolytics in ACS was the unblinded GISSI trial[3] (1986). This was confirmed in the double-blinded ISIS-2 trial (1988). ,/wiki/GUSTO,,
In patients with cardiac arrest due to VF or pulseless VT does mild hypothermia improve neurologic outcomes compared with standard care normothermia?,Hypoxemic-ischemic brain injury is the most common cause of death in patients after cardiac arrest. Preliminary studies have demonstrated that lowering brain temperature to 32 to 34° C reduces the risk of neurologic injury and improves neurologic outcomes. The 2002 Hypothermia After Cardiac Arrest (HACA) trial randomly assigned 275 patients with return of spontaneous circulation (ROSC) after witnessed cardiac arrest due to VF or pulseless VT to mild therapeutic hypothermia (32 to 34° C) or to standard normothermia. At six months HACA demonstrated improved neurologic outcomes in the hypothermia group compared to the normothermia group. The authors estimate that six patients would need to be treated with induced hypothermia to prevent one unfavorable neurologic outcome. In addition therapeutic hypothermia improved survival such that to prevent one death seven patients would need to be treated with induced hypothermia. A concurrent publication by Benard et al.[1] found a benefit with therapeutic hypothermia for functional outcomes in a similar population.,/wiki/HACA,,
In patients with advanced heart failure do continuous-flow left ventricular assist devices improve survival free from disabling stroke and device failure as compared with pulsatile devices?,The REMATCH and INTrEPID Trial evaluated the role of left ventricular assist device (LVAD) in patients with advanced heart failure who are ineligible for heart transplant. In the REMATCH trial patients who received LVAD had a 48% reduction in mortality as compared with medical-therapy (OMT) (relative risk 0.52 95 % CI 0.34-0.78 P=0.001). [1] Similarly the INTrePID trial showed a significant survival advantage with LVAD as compared to OMT. [2] The LVAD used in these studies were pulsatile-flow devices with a larger size and less durability as compared to new continuous-flow LVAD. In the HEARTMATE II study continuous-flow LVAD (HeartMate II abbreviated as HMII) was compared to pulsatile-flow LVAD (HeartMate XVE) for destination therapy with the primary endpoint of 2-year survival free from disabling stroke and LVAD failure. [3],/wiki/HEARTMATE_II,,
In adult ICU patients with fever and probable infection does administration of acetaminophen result in more ICU-free days compared to no treatment of the fever?,Antipyretic agents are commonly administered to ICU patients with fever from a known or suspected infection on the assumption that restoration of a euthermic state may reduce physiological stress. Yet at the same time fever may impair microorganism growth enhance the efficacy of antibiotics and may have additional favorable effects and thus the routine use of antipyretic agents such as acetaminophen has been called into question.,/wiki/HEAT,,
In patients undergoing hemodialysis does a higher dialysis dose or a high-flux dialyzer membrane reduce all-cause mortality?,Dialysis dose and size of molecules removed are important factors in patients undergoing maintenance hemodialysis.[1] Expressed as Kt/V guidelines at the time of this study recommended a single-pool Kt/V of >1.2.[2] The Hemodialysis (HEMO) Study aimed to determine the effect of a higher dialysis dose (target equilibrated Kt/V 1.45) and a high-flux dialyzer membrane on all-cause mortality in patients undergoing thrice-weekly hemodialysis as compared to standard-dose (target equilibrated Kt/V 1.05) and low-flux membrane.[3],/wiki/HEMO,,
In patients with HER2-positive breast cancer does trastuzumab improve disease-free survival after adjuvant chemotherapy? ,Trastuzumab is a monoclonal antibody against the HER2/neu gene product which is overexpressed in 15-25% of breast cancers and is associated with an aggressive phenotype. While previous studies have shown that trastuzumab benefits those with HER2-positive metastatic breast cancer when administered alone or in combination with chemotherapy the Herceptin Adjuvant (HERA) trial investigated the role of trastuzumab administered after primary treatment consisting of surgery radiation and chemotherapy.,/wiki/HERA,,
Among patients with cancer-associated VTE how does the factor Xa inhibitor edoxaban compare with the low-molecular-weight heparin agent dalteparin in terms of recurrent VTE and bleeding complications?,Venous thromboembolism (VTE) is a common complication of cancer and its treatment.[1] Patients with cancer-associated VTE have a higher risk of recurrent VTE and encounter more bleeding when on anticoagulation compared to patients without cancer and thus the management of these patients poses particular challenges. The CLOT trial (2003) demonstrated that low molecular weight heparin (LMWH) reduced the risk of recurrent VTE among patients with cancer-associated VTE when compared to vitamin K antagonist (VKA) therapy establishing LMWH as the standard of care for this patient population.[2] As the direct-acting anticoagulants (DOACs) became available a logical question was whether DOACs would be effective in patients with cancer-associated VTE. The randomized DOAC versus VKA trials included few patients with malignancy and subsequent meta-analyses of patients from these and other randomized trials demonstrated favorable effects on recurrence and bleeding rates with DOACs compared to VKAs and LMWH in patients with cancer-associated VTE.[3] Randomized trials in patients with cancer-associated VTE were needed.,/wiki/Hokusai-VTE,,
In patients with multiple CV risk factors does ramipril reduce cardiovascular morbidity and mortality?,CONSENSUS (1987) SOLVD (1991) and SAVE (1992) demonstrated the benefit of enalapril and captopril in reducing mortality and hospitalizations among patients with reduced systolic function. However the role of ACE inhibitors was unclear among patients with multiple CV risk factors and preserved systolic function.,/wiki/HOPE,,
In patients with sickle cell disease does voxelotor 1500mg increase baseline hemoglobin of patients?,'Sickle cell disease is a chronic disease with numerous acute and chronic clinical manifestations that results in premature mortality among persons afflicted by the condition. Despite its commonality there are few treatment options available to improve improve clinical outcomes. The hallmark of sickle cell disease is polymerization of HbS and resultant sickling of RBCs. This leads to multiple events related to microvascular occlusion (eg infarctions pain) intravascular hemolysis (eg anemia) and adverse inflammation.[1] One of the factors contributing to HgS polymerization is low oxygen. Voxelotor is an oral targeted therapy that increases hemoglobin''s oxygen affinity and reduces hypoxia-related polymerization.[2] Prior to 2019 it had not been assessed in a large trial.',/wiki/HOPE_(Sickle_Cell_Disease),,
Among patients with intermediate cardiovascular disease risk does rosuvastatin hydrochlorthiazide/candesartan or a combination of both interventions reduce CVD events when compared to placebo?,Note: Three interrelated HOPE-3 manuscripts were published simultaneously: Antihypertensives+statin treatment[1] statin treatment[2] and antihypertensive treatment.[3] All three are reviewed here.,/wiki/HOPE-3,,
Among postmenopausal women with osteoporosis does annual zoledronate infusion reduce the rate of vertebral hip and other fractures compared to placebo?,Osteoporosis affects 7% of those age 50-59 12% of those age 60-69 26% of those age 70-79 and 35% of women age ≥80 years.[1] Osteoporotic fractures are a major cause of disability for women and contribute $14 billion in annual costs in the US.[2] The time following a fracture is associated with excess risk in mortality. Bisphosphonates inhibit bone reabsorption and increase bone mineral density (BMD) and the oral bisphosphonates alendronate and risendronate reduce the rate of fractures among individuals with osteoporosis. Adherence to these daily or weekly oral regimens can be poor and a less frequent dosing schedule was desirable. ,/wiki/HORIZON-PFT,,
Among patients admitted to hematology wards with high-risk neutropenic fever without microbial diagnosis does stopping empiric antibiotics once the patient has been clinically stable & afebrile for 72 hours increase the number of antibiotic-free days compared to continuing antibiotics until neutrophil recovery?,Management of febrile neutropenia with antibiotics has historically involved use of empiric antimicrobial therapy (EAT) until resolution of fever and neutropenia.[1] This practice was not supported by high-quality evidence. Among patients with febrile neutropenia neutropenia may persist for weeks or months and continuing broad-spectrum antibiotics for such a long duration may be associated with more harm than benefit. ,/wiki/How_Long,,
In patients with high risk for CVD does simvastatin reduce cardiovascular morbidity and mortality as compared to placebo?,HMG-CoA reductase inhibitors (statins) have been shown to reduce cardiovascular (CV) mortality and morbidity in certain high risk patient groups. For example  4S (1994) and LIPID (1998) found statins to reduce all-cause mortality among patients with prior MI.  Similarly study reported the benefit of Pravastatin in patients with coronary artery disease (CAD) and different cholesterol levels.[1] The AFCAPS showed that Lovastatin is effective in patients without atherosclerotic CAD with average total cholesterol LDL-C and below-average HDL-C levels.[2],/wiki/HPS_Statin,,
Among patients with atherosclerotic disease on statin therapy does niacin+laropiprant reduce major vascular event when compared to placebo?,Population studies have identified high LDL-cholesterol and low HDL-cholesterol as independent risk factors for CHD and CHD mortality.  The effects of niacin (vitamin B3 or nicotinic acid) are many and are thought to reduce LDL through inhibition of diacylglycerol acyltransferase-2-mediated triglyceride synthesis and increase HDL levels by reducing catabolism of HDL particles.[1] This therapy is particularly attractive for its strong effects on increasing HDL.[2] In the pre-statin era niacin was found to modestly reduce mortality in patients with CHD.[3] Trials subsequent to the widespread use of statins have had conflicting results. For example the 2004 ARBITER 2 trial[4] found that niacin added to statin therapy was associated with a reduction in carotid intima-media thickness (a surrogate for atherosclerosis progression) among individuals with known CHD while the 2011 AIM-HIGH trial[5] found no reduction in clinical outcomes (eg CHD mortality) when niacin was added to statin therapy in patients with CHD. Whether the therapy would benefit a more heterogeneous group of patients with atherosclerotic disease on statin therapy was unknown.,/wiki/HPS2-THRIVE,,
Does early initiation of antiretroviral therapy (ART) reduce HIV transmission among HIV-serodiscordant couples and reduce morbidity among HIV-seropositive partners?,Several prospective cohort studies in Africa demonstrated that ART in the HIV-seropositive partner reduced transmission to the HIV-seronegative partner.  The HIV Prevention Trials Network (HPTN) 052 trial was the first RCT to determine whether ART of the HIV-seropositive partner (CD4 between 350-550 cells/mm3) decreased transmission to the HIV-seronegative partner.  The HPTN 052 trial randomized 1763 HIV-serodiscordant almost entirely heterosexual couples to initiation of early ART (CD4 count 350-550) or delayed ART (CD4 count <250 or after AIDS-defining illness).  Viral gene sequencing after seroconversion determined whether HIV transmission was linked between couples.,/wiki/HPTN_052,,
Among patients presenting to an ED with chest pain who had a high-sensitivity troponin-T <5 ng/L and no EKG changes what is the 30 day incidence of MI?,'Acute chest pain is a common complaint in the emergency department but is caused by MI a minority of the time. Traditional troponin assays lag behind onset of necrosis-related symptoms in MI.[1] As a result these labs must be checked serially (eg q6h x3) to ''rule out'' individuals presenting with chest pain or other symptoms concerning for MI. A more rapid method to rule out ED patients with chest pain would result in savings for the health care system. The 2012 ROMICAT-II[2] study found that use of coronary CT scanning in evaluating acute chest pain was associated with an 8 hour reduction in hospital stay but no cost savings. High-sensitivity (HS) troponin-T is thought to be an improvement over the traditional troponin study as it more rapidly detects myocardial damage. Prospective studies have found a high NPV when HS troponin-T was measured serially (at least twice) among patients presenting with acute chest pain.[3][4] Whether a single measurement would be associated with a high NPV in all-comers was unclear.',/wiki/HS_troponin-T_to_rule_out_MI,,
Among women planning to become pregnant does administration of a periconceptual multivitamin reduce neural tube defects when compared a trace-element supplement?,The 1991 MRC Vitamin Study[1] demonstrated that folic acid was effective in secondary prevention in women with prior pregnancy complicated with a neural tube defect (spinal bifida anencephaly and encephalocele)[2] when compared to supplementation with vitamins A D B1 B2 B6 C and nicotinamide. Whether a folic acid-containing multivitamin could be used as primary prevention for neural tube defects was unknown.,/wiki/Hungarian_Prenatal_Vitamin_Trial,,
What is the impact of treating adult patients in severe sepsis or septic shock with a cocktail of intravenous vitamin C thiamine and hydrocortisone?,Sepsis is life threatening organ dysfunction caused by a dysregulated host response to infection leading to an imbalance in oxygen demand and supply and is a leading cause of infectious death.[1] Sepsis was originally defined in 1992 via a consensus based definition from SCCM and ACCP defined as a systemic inflammatory response (SIRS) with a suspected source of infection. These patients were then stratified into one of three categories:  sepsis severe sepsis (with lactic acidosis or hypotension) or septic shock (severe sepsis with persistent hypotension despite fluid resuscitation).[2] In 2016 these definitions were modified with the Sepsis-3 update the SIRS criteria were eliminated and the SOFA and q-SOFA criteria have now been adopted.[1][3],/wiki/Hydrocortisone,_Vitamin_C,_and_Thiamine_in_Severe_Sepsis_and_Septic_Shock
In patients with severe sepsis does early hydrocortisone therapy reduce progression to septic shock compared to placebo?,Multiple RCTs have investigated the potential role for steroid therapy in patients with septic shock. The Annane Trial in 2002 demonstrated a short-term mortality benefit with IV hydrocortisone and fludrocortisone among patients with evidence of adrenal insufficiency on ACTH stimulation testing. The more recent CORTICUS study investigated hydrocortisone in patients with and without adrenal insufficiency and found no benefit in either subgroup with suggestion of increased infection rates in patients receiving hydrocortisone. Since the patient population in the Annane Trial were more critically ill a benefit to steroid therapy in sicker patients could not be excluded. In addition in both trials shock was more rapidly reversed with the use of corticosteroids. As a result of these conflicting data with possible benefit the 2012 Surviving Sepsis Campaign Guidelines provide a weak Grade 2C recommendation for the use of IV corticosteroids in septic shock refractory to IV fluids and pressor therapy. ,/wiki/HYPRESS,,
Among very elderly patients with hypertension does active treatment with antihypertensives reduce the rate of fatal or nonfatal stroke when compared with placebo?,Contemporary hypertension trials (including MRC[1] STOP-Hypertension[2] STOP-Hypertension-2[3] and SHEP[4]) have generally excluded the very elderly or have had few enrollees ≥80 years. A 1999 meta-analysis of RCT data found that treatment of hypertension in this age group was associated with a statistically significant reduction in major CV events and HF but no reduction no CV mortaltiy and an increased risk of all-cause mortality.[5] As such the optimal treatment of hypertension in this age group is unclear. ,/wiki/HYVET,,
In patients with acute MI complicated by cardiogenic shock does an intraaortic balloon pump (IABP) reduce mortality? ,Mortality rates in patients with acute MI complicated by cardiogenic shock remain high.  Given the lack of RCTs recommendations for adjunctive therapy in this population have been based on pathophysiological assumptions and expert opinion only.  An intraaortic balloon pump (IABP) is an inflatable device placed in the aorta that inflates with diastole and deflates with systole. IABPs are thought to benefit patients in cardiogenic shock by decreasing afterload during systole and increasing coronary perfusion during diastole thereby improving overall myocardial oxygen consumption. The use of IABPs go back to the 1970s; and IABPs are the most widely used mechanical assist devices in hemodynamically unstable patients today. The 2004 ACC/AHA[1] and 2010 ESC STEMI guidelines listed class IB and IC recommendations respectively for the use of IABP in patients with cardiogenic shock despite a lack of RCTs establishing its benefit.,/wiki/IABP-SHOCK_II,,
Do patients with completely resected non-small cell lung cancer have improved survival with cisplatin-based adjuvant chemotherapy compared to observation alone? ,Surgery chemotherapy and radiation therapy all play a role in the treatment of patients with non-small-cell lung cancer (NSCLC). Particularly for patients with stage 1 and 2 disease surgical resection offers the best chance at a cure. Nevertheless relapse occurs in a substantial portion of patients following complete resection and postoperative chemotherapy may play a role in eradicating micrometastatic disease. Published in 2004 the International Adjuvant Lung Cancer Trial (IALT) was the first large randomized clinical trial to demonstrate that adjuvant cisplatin-based chemotherapy after complete surgical resection improved 5-year overall survival compared to observation alone. The trial randomized 1867 patients with completely resected stage 1-3 NSCLC to either postoperative chemotherapy or observation alone. Participating centers chose the adjuvant therapy provided and about half of patients received 3-4 cycles of cisplatin plus etoposide. Most patients had undergone pneumonectomy or lobectomy as their cancer surgery and most (90%) had WHO performance status 0-1. Pathologic stage was 1 in about 35% stage 2 in 25% and stage 3 in the remaining 40%. With a median follow-up of 56 months the primary outcome of overall survival favored adjuvant chemotherapy (HR 0.86; 95% CI 0.76-0.98; P=<0.03). As a result of IALT and similar studies adjuvant chemotherapy became the standard of care for patients with resected stage 1-3 disease.,/wiki/IALT,,
What is the safety and efficacy of ibrutinib among patients with previously treated Waldenström macroglobulinemia?,Waldenström macroglobulinemia (lymphoplasmacytic lymphoma WM) is an indolent B-cell lymphoma marked by adenopathy splenomegaly cytopenias and hyperviscosity due to circulating monoclonal IgM antibodies. Treatment generally targets the lymphoplasmacytic cell and front-line options include rituximab monotherapy and combination rituximab plus chemotherapy. Identification of the MYD88L265P mutation and its activation of the Bruton tyrosine kinase (BTK) pathway in the majority of WM patients raised the hypothesis that BTK inhibition with ibrutinib would yield favorable responses.,/wiki/Ibrutinib_in_Waldenstrom_macroglobulinemia,,
In patients 70 years or younger with chronic lymphocytic leukemia (CLL) how does the safety and efficacy of ibrutinib-rituximab compare to the chemoimmunotherapy regimen of fludarabine-cyclophosphamide-rituxmiab?,Prior studies established chemoimmunotherapy as the standard-of-care for patients with untreated CLL. This standard was challenged with the introduction of novel agents such as the BTK inhibitor ibrutinib and BCL2 inhibitor venetoclax which proved to be very active and well tolerated in patients with CLL. A head-to-head study of novel therapy versus chemoimmunotherapy was necessary.,/wiki/Ibrutinib-Rituximab_or_Chemoimmunotherapy_for_Chronic_Lymphocytic_Leukemia,,
In patients experiencing their first episode of acute pericarditis does colchicine reduce the rate of incessant or recurrent pericarditis when compared placebo?,'Pericarditis therapies include NSAIDs glucocorticoids and colchicine although few trials exist to guide their use.[1] The unblinded COPE trial (2005)[2] suggested colchicine''s efficacy in the first episode of pericarditis. The blinded CORP trial (2011)[3] demonstrated the benefit of colchicine in recurrent pericarditis. No blinded large RCT using colchicine had been performed in individuals with their first episode of pericarditis however.',/wiki/ICAP,,
In patients with stage V CKD does the initiation of early dialysis improve survival or outcomes?,Previous non-randomized observational studies involving early initiation of dialysis demonstrated mixed results on survival. The Initiating Dialysis Early and Late (IDEAL) study is the only randomized trial that assessed time of dialysis initiation and mortality. This study randomized 828 patients with progressive CKD and GFR between 10-15 ml/min/1.73 m2 to initiation of early dialysis when GFR was 10-14 or late dialysis when GFR was 5-7.  At a median followup of 3.6 years there was no significant difference in survival cardiovascular events infections or dialysis complications between the two arms. ,/wiki/IDEAL,,
Among ICU with septic shock and AKI without urgent need for dialysis does an initiation of renal replacement therapy (RRT) using an early-initiation strategy reduce all-cause mortality at 90 days when compared to a delayed-initiation strategy?,Sepsis remains one of the most frequent reasons for ICU admissions. The development of AKI in the context of septic shock is well documented with rates ranging between 40-75% [1]. A common dilemma within the ICU in these patients is whether to begin RRT early upon development of severe acute kidney injury or wait until an acute indication for dialysis arises in these patients. Recent clinical evidence is conflicting. The 2016 multicenter AKIKI study compared early- vs. delayed-initiation RRT in general ICU patients about 67% of whom had septic shock. There was no difference 28 and 90 day mortality. In contrast the 2016 single-center ELAIN trial (32% with severe sepsis) found a mortality benefit in general ICU patients with severe AKI (HR 0.66; 95% CI 0.45-0.97).[2] Of note ELAIN primarily enrolled surgical patients.[3] While there is ongoing debate between these two trials and their methodological differences a focused trial towards severe AKI in sepsis has not been performed.,/wiki/IDEAL-ICU,,
In patients with type 2 diabetes and nephropathy do irbesartan or amlodipine slow the progression of nephropathy independently of their antihypertensive effect as compared to placebo?,ACE-inhibitors were shown to prevent progression of DM nephropathy in patients with T1DM in the 1993 CSG Captopril Trial. Irbesartan and amlodipine are antihypertensive agents which belong to the categories of angiotensin-II-receptor blocker (ARB) and dihydropyridine calcium-channel blockers (CCB) respectively. The Irbesartan Diabetic Nephropathy Trial (IDNT) examined if these agents slow the progression of nephropathy independently of their antihypertensive effect in patients with type 2 diabetes (T2DM).,/wiki/IDNT,,
In patients with stable or unstable coronary artery disease (CAD) undergoing revascularization with intermediate coronary lesions is instantaneous wave free ratio (iFR) noninferior to fractional flow reserve (FFR) for PCI guidance with regard to all-cause mortality nonfatal MI or unplanned revascularization?,Fractional flow reserve (FFR) is a method of determining the functional significance of an angiographically borderline epicardial coronary lesion in which flow is measured both proximal and distal to a lesion while adenosine is administered in order to induce hyperemia and minimize coronary resistance. When distal flow is ≤ 80% of proximal flow using FFR a coronary lesion is considered physiologically significant. The recent FAME 2 trial demonstrated the superiority of FFR-guided revascularization to standard angiographic guidance in PCI leading to a significant improvement in rate of death nonfatal MI or urgent revascularization driven primarily by a lower rate of urgent revascularization following FFR-guided PCI.,/wiki/IFR-SWEDEHEART,,
Among individuals with ACS does ezetimibe+simvastatin reduce CV mortality major CV event or nonfatal stroke when compared to simvastatin alone?,Ample evidence supports the use of statins for the primary and secondary prevention of CVD and its complications including death. On the other hand evidence supporting the use of ezetimibe a non-statin agent inhibiting small intestinal cholesterol absorption[1] is conflicting. In fact the FDA approved ezetimibe for the treatment of hyperlipidemia in 2002 based upon its effect on LDL-cholesterol (LDL-C) and not on its impact on cardiovascular outcomes.[2] Subsequent studies demonstrated that the addition of ezetimibe to statin therapy reduces LDL-C by an additional ~23%.[3] The industry-sponsored 2008 ENHANCE trial[4] failed to demonstrate slowing of progression of atherosclerotic disease when added to statin therapy. Based upon these and other studies the 2013 ACC/AHA cholesterol guidelines[5] did not include ezetimibe in the treatment algorithm given insufficient evidence for prevention CVD outcomes. A trial demonstrating effectiveness of ezetimibe was needed in order for the medication to remain relevant.,/wiki/IMPROVE-IT,,
Among patients with idiopathic pulmonary fibrosis does nintedanib reduce the decline in FVC as compared to placebo?,Idiopathic pulmonary fibrosis (IPF) is a restrictive lung disease characterized by progressive decline in lung function and an high rate of mortality. Prior to this trial treatment options were limited. The combination of azathioprine prednisone and N-acetylcysteine being previously shown to be associated with higher rates of SAE hospitalizations and adverse events in the 2012 PANTHER trial.[1],/wiki/INPULSIS_Trials,,
In patients with asymptomatic HIV infection with CD4+ count >500 cells/mm3 does immediate initiation of antiretroviral therapy (ART) reduce the risk of serious events or death compared to deferred initiation until the CD4+ is less than 350 cells/mm3?,The advent of three-drug antiretroviral therapy (ART) regimens in the 1990s have resulted in remarkable declines in morbidity and mortality among HIV-infected patients.  In the early 2000s therapy was withheld in HIV-infected patients without AIDS given the toxicity of early potent ART and lack of evidence supporting early initiation in patients with relatively preserved CD4+ counts.  Subsequently randomized studies demonstrated AIDS-related morbidity and mortality benefit with early initiation of ART in patients with CD4+ counts <350.  The evidence for initiating ART in patients with CD4+ counts >350 comes from the START and Temprano trials. ,/wiki/INSIGHT_START,,
In high risk HIV-seronegative males do antiretroviral therapies reduce the rate of HIV seroconversion?,Primary prevention of HIV has been demonstrated among pregnant women with oral AZT in PACTG 076[1] (1999) and among heterosexual women with intravaginal TDF in CAPRISA 004[2] (2010). This is one of the largest primary prevention trial among men.,/wiki/IPrEx,,
Among patients with Philadelphia chromosome-positive CML does imatinib delay disease progression compared to IFNα/cytarabine?,The Philadelphia chromosome (Ph) results from a t(9;22) translocation that produces the BCR-ABL protein a tyrosine kinase responsible for cell proliferation that drives CML. Imatinib (STI571) is a selective inhibitor of the BCR-ABL tyrosine kinase that has been shown to delay disease progression among individuals in the chronic phase of CML.,/wiki/IRIS,,
In patients with iron deficiency and symptomatic heart failure with reduced ejection fraction (HFrEF) does oral iron replacement improve exercise capacity?,Iron plays a critical role in oxygen delivery by contributing to the production of red blood cells and serving as a cofactor for enzymes required to perform cellular respiration and maintain vascular homeostasis. Nearly 50% of patients with symptomatic HFrEF have iron deficiency which may impair these processes and prevent adequate compensation for impaired cardiac function. This notion is supported by the finding that regardless of hemoglobin status the presence of iron deficiency in HFrEF has been associated with reduced functional capacity poorer quality of life and increased mortality.[1] Furthermore in the FAIR-HF trial patients with symptomatic HFrEF and iron deficiency (with or without anemia) given IV iron replacement had improvements in functional capacity heart failure symptoms and quality of life. Whether these benefits would extend to the use of inexpensive and readily available oral iron replacement remained unknown.,/wiki/IRONOUT-HF,,
In patients with acute coronary syndrome (ACS) for whom an invasive evaluation is planned is antiplatelet therapy with ticagrelor superior to prasugrel with regard to a primary outcome of death nonfatal MI or stroke?,Platelet inhibition using P2Y12 inhibitors (in addition to aspirin) is a cornerstone of contemporary therapy for acute coronary syndromes (ACS). The P2Y12 inhibitors most commonly utilized for patients presenting with ACS include clopidogrel ticagrelor and prasugrel. Of the three clopidogrel is the least potent agent with recent randomized trials suggesting that ticagrelor (see PLATO) and prasugrel (see TRITON-TIMI 38) are associated with significant decreases in adverse thrombotic outcomes including cardiovascular death. Whether ticagrelor or prasugrel is preferred over the other with regard to thrombotic and bleeding risk however remained unclear.,/wiki/ISAR-REACT_5,,
In patients requiring oral anticoagulation (OAC) for a separate indication undergoing drug-eluting stent (DES) placement after coronary intervention is six weeks of clopidogrel therapy (in addition to aspirin and OAC) associated with superior net clinical outcome with regard to thrombosis and bleeding compared to 6 months of clopidogrel therapy? ,Dual-antiplatelet therapy (DAPT) with aspirin and a thienopyridine is known to be effective in preventing recurrent coronary thrombotic events including the highly morbid and often fatal complication of in-stent thrombosis following placement of drug-eluting stents (DES) during coronary intervention. However the optimal duration of DAPT after DES placement is unclear. Although ACC/AHA guidelines recommend at least 12 months of dual-antiplatelet therapy following DES recent trials such as DAPT and PEGASUS-TIMI 54 suggest that a longer duration of DAPT may be beneficial in reducing late stent thrombosis.[1] Conversely the ISAR-SAFE trial showed that 6 months of DAPT was not associated with increased thrombotic events compared to the usual 1 year.[2],/wiki/ISAR-TRIPLE,,
In patients with stable coronary artery disease (CAD) and moderate to severe ischemia does initial revascularization improve outcomes compared to medical therapy alone?,Despite the negative COURAGE trial in 2007 the use of PCI in patients with stable angina remains a subject of debate. Critics of COURAGE contend that patients with greater ischemic burden — those hypothesized to respond best to PCI — were poorly represented in the study. This prompted a series of studies including BARI 2D evaluating whether specific higher-risk patient subgroups may benefit from PCI. ,/wiki/ISCHEMIA,,
In patients with suspected acute MI what is separate and combined effect of streptokinase and of aspirin in decreasing the risk of vascular mortality?,During the 1960s and 1970s several small trials of fibrinolytic therapy involving mainly IV streptokinase were performed. Meta-analysis suggested that fibrinolytic therapy for acute MI could reduce vascular mortality by 25%. The large GISSI trial (1986) prospectively studied this and demonstrated that high-dose streptokinase effectively dissolves thrombi and recanalizes occluded coronary arteries.,/wiki/ISIS-2,,
In patients with acute ischemic stroke what is the efficacy of aspirin and of subcutaneous heparin in decreasing morbidity and mortality?,IST and Chinese Acute Stroke Trial[1] (1997) trials are two of the largest trials to study aspirin in acute ischemic stroke. The International Stroke Trial (IST) demonstrated a 28% reduction in 14-day recurrence of ischemic stroke and a 9% reduction in the combined outcome of nonfatal stroke or death at 14 days. This was similar to CAST which demonstrated a 14% reduction in all-cause mortality at 4 weeks. Together IST and CAST demonstrated that aspirin led to a reduction of 11 nonfatal strokes or deaths per 1000 patients in the first few weeks among patients with acute ischemic stroke with a NNT of 91.,/wiki/IST,,
In patients with normal LDL and elevated high-sensitivity CRP (HS-CRP) does rosuvastatin reduce the incidence of major CV events?,Multiple trials (including HPS WOSCOPS TNT LIPID CARE  4S and PROVE IT-TIMI 22) have demonstrated the efficacy of statins in primary and secondary prevention of CV events among patients with hyperlipidemia or known CAD respectively. However the role of statins for patients with elevated inflammatory markers which have been linked to occult CAD had not been well studied until the JUPITER trial.,/wiki/JUPITER,,
Among patients with untreated advanced non-small-cell lung cancer (NSCLC) with PD-L1 expression and without EGFR mutations or ALK rearrangements does pembrolizumab improve progression-free survival compared to platinum-based chemotherapy?,Recent years have seen the approval of immune checkpoint inhibitors for the treatment of multiple malignancies. These agents improve the ability of the immune system to recognize and kill tumor cells. The first approved checkpoint inhibitor was ipilimumab a monoclonal antibody targeting cytotoxic T-lymphocyte antigen 4 (CTLA-4) in the treatment of melanoma.[1] Further studies demonstrated that targeting the programmed death 1 (PD-1) and programmed death ligand 1 (PD-L1) axis using fully humanized IgG4 monoclonal antibodies against PD-1 (pembrolizumab nivolumab) or PD-L1 (atezolizumab) was more effective than chemotherapy in first-line metastatic melanoma[2] second-line advanced renal cell carcinoma[3] second-line advanced nonsquamous NSCLC[4] recurrent or metastatic squamous cell carcinoma of the head and neck[5] and had significant responses in second-line advanced urothelial carcinoma[6] and refractory classical Hodgkin lymphoma.[7],/wiki/KEYNOTE-024,,
Among patients with T2DM at increased risk for CV events does daily liraglutide reduce CV mortality nonfatal MI or nonfatal strokes when compared to placebo?,The global prevalence of diabetes is expected to rise from an estimated 2.8% (171 million) to 4.4% (366 million) in 2030.[1] Diabetes is a major independent risk factor for cardiovascular disease. Several large scale glucose-lowering medication trials including PROactive (2005) EXAMINE (2013)[2] SAVOR-TIMI 53 (2013)[3] TECOS (2015) and ELIXA (2015)[4] and the Look AHEAD lifestyle intervention trial (2013) have disappointingly failed to show a significant reduction in CV events. UKPDS 34 (1998) and SPREAD-DIMCAD (2013)[5] showed reduction in CVD events with metformin. Similarly the 2015 EMPA-REG OUTCOME found a CVD benefit with empaglifozin an SGLT-2 inhibitor.,/wiki/LEADER,,
